0.88	0.74	0.72	0.93	0.00	0.00
0.95	0.75	0.79	0.97	0.00	0.00
0.95	0.42	0.26	0.30	0.00	1.00
0.92	0.66	0.70	0.93	0.00	0.00
0.79	0.36	0.25	0.43	0.00	1.00
0.46	0.00	0.17	0.41	1.00	0.00
0.97	0.39	0.68	0.98	0.00	0.00
0.78	0.33	0.78	1.00	0.00	0.00
0.95	0.42	0.26	0.30	0.00	1.00
0.80	0.37	1.00	0.99	0.00	0.00
0.89	0.23	0.94	0.93	0.00	0.00
0.79	0.36	0.25	0.43	0.00	1.00
0.46	0.00	0.17	0.41	1.00	0.00
0.22	0.42	0.23	0.08	1.00	0.00
0.82	0.25	0.84	0.89	0.00	0.00
0.87	0.36	0.13	0.26	0.00	1.00
0.68	0.20	0.84	0.67	0.00	0.00
0.72	0.33	0.55	0.63	0.00	0.00
0.79	0.36	0.25	0.43	0.00	1.00
0.46	0.00	0.17	0.41	1.00	0.00
0.22	0.42	0.23	0.08	1.00	0.00
0.72	0.15	0.21	0.40	0.00	0.00
0.80	0.18	0.35	0.41	0.00	0.00
0.97	0.39	0.30	0.39	0.00	0.00
0.95	0.42	0.26	0.30	0.00	1.00
0.69	0.22	0.30	0.39	0.00	0.00
0.87	0.36	0.13	0.26	0.00	1.00
0.48	0.10	0.00	0.13	0.00	0.00
0.33	0.26	0.08	0.20	0.00	0.00
0.87	0.36	0.13	0.26	0.00	1.00
0.43	0.32	0.20	0.22	0.00	0.00
0.38	0.51	0.09	0.15	0.00	0.00
0.95	0.42	0.26	0.30	0.00	1.00
0.35	0.46	0.22	0.20	0.00	0.00
0.60	0.50	0.10	0.23	0.00	0.00
0.45	0.58	0.05	0.11	0.00	1.00
0.16	0.32	0.04	0.11	0.00	0.00
0.00	0.44	0.08	0.07	0.00	0.00
0.11	0.39	0.19	0.05	0.00	0.00
0.95	0.42	0.26	0.30	0.00	1.00
0.22	0.42	0.23	0.08	1.00	0.00
0.52	0.55	0.35	0.07	0.00	0.00
0.59	0.55	0.32	0.04	0.00	0.00
0.53	0.52	0.39	0.00	0.00	0.00
0.95	0.42	0.26	0.30	0.00	1.00
0.41	0.56	0.33	0.16	0.00	0.00
0.22	0.42	0.23	0.08	1.00	0.00
0.60	0.77	0.35	0.14	0.00	0.00
0.73	1.00	0.27	0.28	0.00	0.00
0.82	0.86	0.32	0.42	0.00	0.00
0.85	0.38	0.44	0.45	0.00	0.00
0.22	0.42	0.23	0.08	1.00	0.00
0.83	0.39	0.45	0.51	0.00	0.00
0.88	0.47	0.48	0.72	0.00	0.00
1.00	0.52	0.41	0.63	0.00	0.00
0.22	0.42	0.23	0.08	1.00	0.00
0.89	0.50	0.41	0.55	0.00	0.00
0.91	0.85	0.40	0.55	0.00	0.00
